SOURCE|PROFID|POLID|SPCID|SPLITFAC|DIVISOR|MASSFRAC
Distillate Oil Combustion - Simplified|92025.0|PM2_5|POC|0.25|1.0|0.25
Distillate Oil Combustion - Simplified|92025.0|PM2_5|PEC|0.1|1.0|0.1
Distillate Oil Combustion - Simplified|92025.0|PM2_5|PSO4|0.19|1.0|0.19
Distillate Oil Combustion - Simplified|92025.0|PM2_5|PNCOM|0.1|1.0|0.1
Distillate Oil Combustion - Simplified|92025.0|PM2_5|PSI|0.008|1.0|0.008
Distillate Oil Combustion - Simplified|92025.0|PM2_5|PK|0.0004|1.0|0.0004
Distillate Oil Combustion - Simplified|92025.0|PM2_5|PCA|0.0002|1.0|0.0002
Distillate Oil Combustion - Simplified|92025.0|PM2_5|PFE|0.0009|1.0|0.0009
Distillate Oil Combustion - Simplified|92025.0|PM2_5|PMOTHR|0.3505|1.0|0.3505
Distillate Oil Combustion - Simplified|92025.0|PM2_5|PMFINE|0.46|1.0|0.46
Natural Gas Combustion - Simplified|92048.0|PM2_5|POC|0.247|1.0|0.247
Natural Gas Combustion - Simplified|92048.0|PM2_5|PEC|0.384|1.0|0.384
Natural Gas Combustion - Simplified|92048.0|PM2_5|PNO3|0.021|1.0|0.021
Natural Gas Combustion - Simplified|92048.0|PM2_5|PSO4|0.086|1.0|0.086
Natural Gas Combustion - Simplified|92048.0|PM2_5|PNCOM|0.0988|1.0|0.0988
Natural Gas Combustion - Simplified|92048.0|PM2_5|PMOTHR|0.1632|1.0|0.1632
Natural Gas Combustion - Simplified|92048.0|PM2_5|PMFINE|0.262|1.0|0.262
Residential Natural Gas Combustion - Simplified|92063.0|PM2_5|POC|0.49|1.0|0.49
Residential Natural Gas Combustion - Simplified|92063.0|PM2_5|PEC|0.067|1.0|0.067
Residential Natural Gas Combustion - Simplified|92063.0|PM2_5|PNH4|0.0044|1.0|0.0044
Residential Natural Gas Combustion - Simplified|92063.0|PM2_5|PNO3|0.0341|1.0|0.0341
Residential Natural Gas Combustion - Simplified|92063.0|PM2_5|PSO4|0.126|1.0|0.126
Residential Natural Gas Combustion - Simplified|92063.0|PM2_5|PNCOM|0.196|1.0|0.196
Residential Natural Gas Combustion - Simplified|92063.0|PM2_5|PNA|0.0213|1.0|0.0213
Residential Natural Gas Combustion - Simplified|92063.0|PM2_5|PAL|0.0022|1.0|0.0022
Residential Natural Gas Combustion - Simplified|92063.0|PM2_5|PSI|0.0028|1.0|0.0028
Residential Natural Gas Combustion - Simplified|92063.0|PM2_5|PCL|0.0388|1.0|0.0388
Residential Natural Gas Combustion - Simplified|92063.0|PM2_5|PK|0.0017|1.0|0.0017
Residential Natural Gas Combustion - Simplified|92063.0|PM2_5|PCA|0.0104|1.0|0.0104
Residential Natural Gas Combustion - Simplified|92063.0|PM2_5|PTI|0.001|1.0|0.001
Residential Natural Gas Combustion - Simplified|92063.0|PM2_5|PMN|0.0002|1.0|0.0002
