ROW,COL,LAT,LON,POLNAME,UNIT,E00h,E01h,E02h,E03h,E04h,E05h,E06h,E07h,E08h,E09h,E10h,E11h,E12h,E13h,E14h,E15h,E16h,E17h,E18h,E19h,E20h,E21h,E22h,E23h,E24h
21,33,4.59518055556,-74.1817666667,PMOTHR,g/s,8.37831352275e-07,8.37831352275e-07,8.37831352275e-07,8.37831352275e-07,8.37831352275e-07,8.37831352275e-07,8.37831352275e-07,2.51349405684e-06,2.51349405684e-06,2.51349405684e-06,2.51349405684e-06,2.51349405684e-06,2.51349405684e-06,2.51349405684e-06,2.51349405684e-06,2.51349405684e-06,2.51349405684e-06,2.51349405684e-06,2.51349405684e-06,8.37831352275e-07,8.37831352275e-07,8.37831352275e-07,8.37831352275e-07,8.37831352275e-07,8.37831352275e-07
27,26,4.68799722222,-74.1607194444,PMOTHR,g/s,9.28214678054e-07,9.28214678054e-07,9.28214678054e-07,9.28214678054e-07,9.28214678054e-07,9.28214678054e-07,9.28214678054e-07,2.78464403416e-06,2.78464403416e-06,2.78464403416e-06,2.78464403416e-06,2.78464403416e-06,2.78464403416e-06,2.78464403416e-06,2.78464403416e-06,2.78464403416e-06,2.78464403416e-06,2.78464403416e-06,2.78464403416e-06,9.28214678054e-07,9.28214678054e-07,9.28214678054e-07,9.28214678054e-07,9.28214678054e-07,9.28214678054e-07
23,30,4.74094444444,-74.0343888889,PMOTHR,g/s,2.7402558587e-05,2.7402558587e-05,2.7402558587e-05,2.7402558587e-05,2.7402558587e-05,2.7402558587e-05,2.7402558587e-05,8.22076757609e-05,8.22076757609e-05,8.22076757609e-05,8.22076757609e-05,8.22076757609e-05,8.22076757609e-05,8.22076757609e-05,8.22076757609e-05,8.22076757609e-05,8.22076757609e-05,8.22076757609e-05,8.22076757609e-05,2.7402558587e-05,2.7402558587e-05,2.7402558587e-05,2.7402558587e-05,2.7402558587e-05,2.7402558587e-05
36,29,4.68579226901,-74.1614916233,PMOTHR,g/s,1.07389180572e-05,1.07389180572e-05,1.07389180572e-05,1.07389180572e-05,1.07389180572e-05,1.07389180572e-05,1.07389180572e-05,3.22167541717e-05,3.22167541717e-05,3.22167541717e-05,3.22167541717e-05,3.22167541717e-05,3.22167541717e-05,3.22167541717e-05,3.22167541717e-05,3.22167541717e-05,3.22167541717e-05,3.22167541717e-05,3.22167541717e-05,1.07389180572e-05,1.07389180572e-05,1.07389180572e-05,1.07389180572e-05,1.07389180572e-05,1.07389180572e-05
29,29,4.60666043611,-74.0989174427,PMOTHR,g/s,6.17188136678e-06,6.17188136678e-06,6.17188136678e-06,6.17188136678e-06,6.17188136678e-06,6.17188136678e-06,6.17188136678e-06,1.85156441004e-05,1.85156441004e-05,1.85156441004e-05,1.85156441004e-05,1.85156441004e-05,1.85156441004e-05,1.85156441004e-05,1.85156441004e-05,1.85156441004e-05,1.85156441004e-05,1.85156441004e-05,1.85156441004e-05,6.17188136678e-06,6.17188136678e-06,6.17188136678e-06,6.17188136678e-06,6.17188136678e-06,6.17188136678e-06
24,31,4.6857982209,-74.0512058178,PMOTHR,g/s,2.7402558587e-05,2.7402558587e-05,2.7402558587e-05,2.7402558587e-05,2.7402558587e-05,2.7402558587e-05,2.7402558587e-05,8.22076757609e-05,8.22076757609e-05,8.22076757609e-05,8.22076757609e-05,8.22076757609e-05,8.22076757609e-05,8.22076757609e-05,8.22076757609e-05,8.22076757609e-05,8.22076757609e-05,8.22076757609e-05,8.22076757609e-05,2.7402558587e-05,2.7402558587e-05,2.7402558587e-05,2.7402558587e-05,2.7402558587e-05,2.7402558587e-05
29,34,4.60942062589,-74.0995690204,PMOTHR,g/s,1.79883581953e-06,1.79883581953e-06,1.79883581953e-06,1.79883581953e-06,1.79883581953e-06,1.79883581953e-06,1.79883581953e-06,5.39650745858e-06,5.39650745858e-06,5.39650745858e-06,5.39650745858e-06,5.39650745858e-06,5.39650745858e-06,5.39650745858e-06,5.39650745858e-06,5.39650745858e-06,5.39650745858e-06,5.39650745858e-06,5.39650745858e-06,1.79883581953e-06,1.79883581953e-06,1.79883581953e-06,1.79883581953e-06,1.79883581953e-06,1.79883581953e-06
29,34,4.60942062589,-74.0995690204,PMOTHR,g/s,1.79883581953e-06,1.79883581953e-06,1.79883581953e-06,1.79883581953e-06,1.79883581953e-06,1.79883581953e-06,1.79883581953e-06,5.39650745858e-06,5.39650745858e-06,5.39650745858e-06,5.39650745858e-06,5.39650745858e-06,5.39650745858e-06,5.39650745858e-06,5.39650745858e-06,5.39650745858e-06,5.39650745858e-06,5.39650745858e-06,5.39650745858e-06,1.79883581953e-06,1.79883581953e-06,1.79883581953e-06,1.79883581953e-06,1.79883581953e-06,1.79883581953e-06
38,27,4.68806422427,-74.1632129019,PMOTHR,g/s,3.52452614251e-05,3.52452614251e-05,3.52452614251e-05,3.52452614251e-05,3.52452614251e-05,3.52452614251e-05,3.52452614251e-05,0.000105735784276,0.000105735784276,0.000105735784276,0.000105735784276,0.000105735784276,0.000105735784276,0.000105735784276,0.000105735784276,0.000105735784276,0.000105735784276,0.000105735784276,0.000105735784276,3.52452614251e-05,3.52452614251e-05,3.52452614251e-05,3.52452614251e-05,3.52452614251e-05,3.52452614251e-05
32,31,4.63602861216,-74.1220781585,PMOTHR,g/s,3.91583837219e-06,3.91583837219e-06,3.91583837219e-06,3.91583837219e-06,3.91583837219e-06,3.91583837219e-06,3.91583837219e-06,1.17475151166e-05,1.17475151166e-05,1.17475151166e-05,1.17475151166e-05,1.17475151166e-05,1.17475151166e-05,1.17475151166e-05,1.17475151166e-05,1.17475151166e-05,1.17475151166e-05,1.17475151166e-05,1.17475151166e-05,3.91583837219e-06,3.91583837219e-06,3.91583837219e-06,3.91583837219e-06,3.91583837219e-06,3.91583837219e-06
