ROW,COL,LAT,LON,POLNAME,UNIT,E00h,E01h,E02h,E03h,E04h,E05h,E06h,E07h,E08h,E09h,E10h,E11h,E12h,E13h,E14h,E15h,E16h,E17h,E18h,E19h,E20h,E21h,E22h,E23h,E24h
25,31,4.62296388889,-74.1880111111,SO2,mol/s,8.34666347938e-05,8.34666347938e-05,8.34666347938e-05,8.34666347938e-05,8.34666347938e-05,8.34666347938e-05,8.34666347938e-05,0.000250399904382,0.000250399904382,0.000250399904382,0.000250399904382,0.000250399904382,0.000250399904382,0.000250399904382,0.000250399904382,0.000250399904382,0.000250399904382,0.000250399904382,0.000250399904382,8.34666347938e-05,8.34666347938e-05,8.34666347938e-05,8.34666347938e-05,8.34666347938e-05,8.34666347938e-05
37,29,4.59947222222,-74.0886388889,SO2,mol/s,2.53029094041e-08,2.53029094041e-08,2.53029094041e-08,2.53029094041e-08,2.53029094041e-08,2.53029094041e-08,2.53029094041e-08,7.59087282122e-08,7.59087282122e-08,7.59087282122e-08,7.59087282122e-08,7.59087282122e-08,7.59087282122e-08,7.59087282122e-08,7.59087282122e-08,7.59087282122e-08,7.59087282122e-08,7.59087282122e-08,7.59087282122e-08,2.53029094041e-08,2.53029094041e-08,2.53029094041e-08,2.53029094041e-08,2.53029094041e-08,2.53029094041e-08
35,37,4.59459634919,-74.0961358377,SO2,mol/s,2.65787438527e-05,2.65787438527e-05,2.65787438527e-05,2.65787438527e-05,2.65787438527e-05,2.65787438527e-05,2.65787438527e-05,7.97362315582e-05,7.97362315582e-05,7.97362315582e-05,7.97362315582e-05,7.97362315582e-05,7.97362315582e-05,7.97362315582e-05,7.97362315582e-05,7.97362315582e-05,7.97362315582e-05,7.97362315582e-05,7.97362315582e-05,2.65787438527e-05,2.65787438527e-05,2.65787438527e-05,2.65787438527e-05,2.65787438527e-05,2.65787438527e-05
25,31,4.56562222222,-74.1286833333,SO2,mol/s,0.00600959770516,0.00600959770516,0.00600959770516,0.00600959770516,0.00600959770516,0.00600959770516,0.00600959770516,0.0180287931155,0.0180287931155,0.0180287931155,0.0180287931155,0.0180287931155,0.0180287931155,0.0180287931155,0.0180287931155,0.0180287931155,0.0180287931155,0.0180287931155,0.0180287931155,0.00600959770516,0.00600959770516,0.00600959770516,0.00600959770516,0.00600959770516,0.00600959770516
31,34,4.59513494526,-74.0958231408,SO2,mol/s,5.59202248681e-08,5.59202248681e-08,5.59202248681e-08,5.59202248681e-08,5.59202248681e-08,5.59202248681e-08,5.59202248681e-08,1.67760674605e-07,1.67760674605e-07,1.67760674605e-07,1.67760674605e-07,1.67760674605e-07,1.67760674605e-07,1.67760674605e-07,1.67760674605e-07,1.67760674605e-07,1.67760674605e-07,1.67760674605e-07,1.67760674605e-07,5.59202248681e-08,5.59202248681e-08,5.59202248681e-08,5.59202248681e-08,5.59202248681e-08,5.59202248681e-08
40,33,4.59945833333,-74.0928888889,SO2,mol/s,6.84919495647e-08,6.84919495647e-08,6.84919495647e-08,6.84919495647e-08,6.84919495647e-08,6.84919495647e-08,6.84919495647e-08,2.05475848694e-07,2.05475848694e-07,2.05475848694e-07,2.05475848694e-07,2.05475848694e-07,2.05475848694e-07,2.05475848694e-07,2.05475848694e-07,2.05475848694e-07,2.05475848694e-07,2.05475848694e-07,2.05475848694e-07,6.84919495647e-08,6.84919495647e-08,6.84919495647e-08,6.84919495647e-08,6.84919495647e-08,6.84919495647e-08
40,33,4.60282175616,-74.0938466523,SO2,mol/s,3.34722733086e-07,3.34722733086e-07,3.34722733086e-07,3.34722733086e-07,3.34722733086e-07,3.34722733086e-07,3.34722733086e-07,1.00416819926e-06,1.00416819926e-06,1.00416819926e-06,1.00416819926e-06,1.00416819926e-06,1.00416819926e-06,1.00416819926e-06,1.00416819926e-06,1.00416819926e-06,1.00416819926e-06,1.00416819926e-06,1.00416819926e-06,3.34722733086e-07,3.34722733086e-07,3.34722733086e-07,3.34722733086e-07,3.34722733086e-07,3.34722733086e-07
40,33,4.59794444444,-74.0939444444,SO2,mol/s,1.36351334846e-08,1.36351334846e-08,1.36351334846e-08,1.36351334846e-08,1.36351334846e-08,1.36351334846e-08,1.36351334846e-08,4.09054004539e-08,4.09054004539e-08,4.09054004539e-08,4.09054004539e-08,4.09054004539e-08,4.09054004539e-08,4.09054004539e-08,4.09054004539e-08,4.09054004539e-08,4.09054004539e-08,4.09054004539e-08,4.09054004539e-08,1.36351334846e-08,1.36351334846e-08,1.36351334846e-08,1.36351334846e-08,1.36351334846e-08,1.36351334846e-08
36,37,4.59822610796,-74.0938231516,SO2,mol/s,5.31112308793e-09,5.31112308793e-09,5.31112308793e-09,5.31112308793e-09,5.31112308793e-09,5.31112308793e-09,5.31112308793e-09,1.59333692638e-08,1.59333692638e-08,1.59333692638e-08,1.59333692638e-08,1.59333692638e-08,1.59333692638e-08,1.59333692638e-08,1.59333692638e-08,1.59333692638e-08,1.59333692638e-08,1.59333692638e-08,1.59333692638e-08,5.31112308793e-09,5.31112308793e-09,5.31112308793e-09,5.31112308793e-09,5.31112308793e-09,5.31112308793e-09
29,27,4.59822610796,-74.0938231516,SO2,mol/s,1.61104067e-07,1.61104067e-07,1.61104067e-07,1.61104067e-07,1.61104067e-07,1.61104067e-07,1.61104067e-07,4.83312201003e-07,4.83312201003e-07,4.83312201003e-07,4.83312201003e-07,4.83312201003e-07,4.83312201003e-07,4.83312201003e-07,4.83312201003e-07,4.83312201003e-07,4.83312201003e-07,4.83312201003e-07,4.83312201003e-07,1.61104067e-07,1.61104067e-07,1.61104067e-07,1.61104067e-07,1.61104067e-07,1.61104067e-07
