ROW,COL,LAT,LON,POLNAME,UNIT,E00h,E01h,E02h,E03h,E04h,E05h,E06h,E07h,E08h,E09h,E10h,E11h,E12h,E13h,E14h,E15h,E16h,E17h,E18h,E19h,E20h,E21h,E22h,E23h,E24h
37,29,4.59947222222,-74.0886388889,ALD2,g/s,3.64858299793e-05,3.64858299793e-05,3.64858299793e-05,3.64858299793e-05,3.64858299793e-05,3.64858299793e-05,3.64858299793e-05,0.000109457489938,0.000109457489938,0.000109457489938,0.000109457489938,0.000109457489938,0.000109457489938,0.000109457489938,0.000109457489938,0.000109457489938,0.000109457489938,0.000109457489938,0.000109457489938,3.64858299793e-05,3.64858299793e-05,3.64858299793e-05,3.64858299793e-05,3.64858299793e-05,3.64858299793e-05
35,37,4.59459634919,-74.0961358377,ALD2,g/s,1.75363619969e-07,1.75363619969e-07,1.75363619969e-07,1.75363619969e-07,1.75363619969e-07,1.75363619969e-07,1.75363619969e-07,5.26090859906e-07,5.26090859906e-07,5.26090859906e-07,5.26090859906e-07,5.26090859906e-07,5.26090859906e-07,5.26090859906e-07,5.26090859906e-07,5.26090859906e-07,5.26090859906e-07,5.26090859906e-07,5.26090859906e-07,1.75363619969e-07,1.75363619969e-07,1.75363619969e-07,1.75363619969e-07,1.75363619969e-07,1.75363619969e-07
31,34,4.59513494526,-74.0958231408,ALD2,g/s,1.879642912e-08,1.879642912e-08,1.879642912e-08,1.879642912e-08,1.879642912e-08,1.879642912e-08,1.879642912e-08,5.63892873602e-08,5.63892873602e-08,5.63892873602e-08,5.63892873602e-08,5.63892873602e-08,5.63892873602e-08,5.63892873602e-08,5.63892873602e-08,5.63892873602e-08,5.63892873602e-08,5.63892873602e-08,5.63892873602e-08,1.879642912e-08,1.879642912e-08,1.879642912e-08,1.879642912e-08,1.879642912e-08,1.879642912e-08
40,33,4.59945833333,-74.0928888889,ALD2,g/s,4.5448800561e-07,4.5448800561e-07,4.5448800561e-07,4.5448800561e-07,4.5448800561e-07,4.5448800561e-07,4.5448800561e-07,1.36346401683e-06,1.36346401683e-06,1.36346401683e-06,1.36346401683e-06,1.36346401683e-06,1.36346401683e-06,1.36346401683e-06,1.36346401683e-06,1.36346401683e-06,1.36346401683e-06,1.36346401683e-06,1.36346401683e-06,4.5448800561e-07,4.5448800561e-07,4.5448800561e-07,4.5448800561e-07,4.5448800561e-07,4.5448800561e-07
40,33,4.60282175616,-74.0938466523,ALD2,g/s,7.30949706442e-06,7.30949706442e-06,7.30949706442e-06,7.30949706442e-06,7.30949706442e-06,7.30949706442e-06,7.30949706442e-06,2.19284911932e-05,2.19284911932e-05,2.19284911932e-05,2.19284911932e-05,2.19284911932e-05,2.19284911932e-05,2.19284911932e-05,2.19284911932e-05,2.19284911932e-05,2.19284911932e-05,2.19284911932e-05,2.19284911932e-05,7.30949706442e-06,7.30949706442e-06,7.30949706442e-06,7.30949706442e-06,7.30949706442e-06,7.30949706442e-06
40,33,4.59794444444,-74.0939444444,ALD2,g/s,9.04778541574e-08,9.04778541574e-08,9.04778541574e-08,9.04778541574e-08,9.04778541574e-08,9.04778541574e-08,9.04778541574e-08,2.71433562472e-07,2.71433562472e-07,2.71433562472e-07,2.71433562472e-07,2.71433562472e-07,2.71433562472e-07,2.71433562472e-07,2.71433562472e-07,2.71433562472e-07,2.71433562472e-07,2.71433562472e-07,2.71433562472e-07,9.04778541574e-08,9.04778541574e-08,9.04778541574e-08,9.04778541574e-08,9.04778541574e-08,9.04778541574e-08
36,37,4.59822610796,-74.0938231516,ALD2,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,27,4.59822610796,-74.0938231516,ALD2,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,28,4.59738678284,-74.0947585206,ALD2,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,28,4.59513494526,-74.0958231408,ALD2,g/s,9.84017084123e-09,9.84017084123e-09,9.84017084123e-09,9.84017084123e-09,9.84017084123e-09,9.84017084123e-09,9.84017084123e-09,2.95205125237e-08,2.95205125237e-08,2.95205125237e-08,2.95205125237e-08,2.95205125237e-08,2.95205125237e-08,2.95205125237e-08,2.95205125237e-08,2.95205125237e-08,2.95205125237e-08,2.95205125237e-08,2.95205125237e-08,9.84017084123e-09,9.84017084123e-09,9.84017084123e-09,9.84017084123e-09,9.84017084123e-09,9.84017084123e-09
