ROW,COL,LAT,LON,POLNAME,UNIT,E00h,E01h,E02h,E03h,E04h,E05h,E06h,E07h,E08h,E09h,E10h,E11h,E12h,E13h,E14h,E15h,E16h,E17h,E18h,E19h,E20h,E21h,E22h,E23h,E24h
37,29,4.59947222222,-74.0886388889,IOLE,g/s,5.13523157784e-05,5.13523157784e-05,5.13523157784e-05,5.13523157784e-05,5.13523157784e-05,5.13523157784e-05,5.13523157784e-05,0.000154056947336,0.000154056947336,0.000154056947336,0.000154056947336,0.000154056947336,0.000154056947336,0.000154056947336,0.000154056947336,0.000154056947336,0.000154056947336,0.000154056947336,0.000154056947336,5.13523157784e-05,5.13523157784e-05,5.13523157784e-05,5.13523157784e-05,5.13523157784e-05,5.13523157784e-05
35,37,4.59459634919,-74.0961358377,IOLE,g/s,1.63577110172e-07,1.63577110172e-07,1.63577110172e-07,1.63577110172e-07,1.63577110172e-07,1.63577110172e-07,1.63577110172e-07,4.90731330515e-07,4.90731330515e-07,4.90731330515e-07,4.90731330515e-07,4.90731330515e-07,4.90731330515e-07,4.90731330515e-07,4.90731330515e-07,4.90731330515e-07,4.90731330515e-07,4.90731330515e-07,4.90731330515e-07,1.63577110172e-07,1.63577110172e-07,1.63577110172e-07,1.63577110172e-07,1.63577110172e-07,1.63577110172e-07
31,34,4.59513494526,-74.0958231408,IOLE,g/s,2.64552064246e-08,2.64552064246e-08,2.64552064246e-08,2.64552064246e-08,2.64552064246e-08,2.64552064246e-08,2.64552064246e-08,7.93656192741e-08,7.93656192741e-08,7.93656192741e-08,7.93656192741e-08,7.93656192741e-08,7.93656192741e-08,7.93656192741e-08,7.93656192741e-08,7.93656192741e-08,7.93656192741e-08,7.93656192741e-08,7.93656192741e-08,2.64552064246e-08,2.64552064246e-08,2.64552064246e-08,2.64552064246e-08,2.64552064246e-08,2.64552064246e-08
40,33,4.59945833333,-74.0928888889,IOLE,g/s,1.25852362894e-06,1.25852362894e-06,1.25852362894e-06,1.25852362894e-06,1.25852362894e-06,1.25852362894e-06,1.25852362894e-06,3.77557088684e-06,3.77557088684e-06,3.77557088684e-06,3.77557088684e-06,3.77557088684e-06,3.77557088684e-06,3.77557088684e-06,3.77557088684e-06,3.77557088684e-06,3.77557088684e-06,3.77557088684e-06,3.77557088684e-06,1.25852362894e-06,1.25852362894e-06,1.25852362894e-06,1.25852362894e-06,1.25852362894e-06,1.25852362894e-06
40,33,4.60282175616,-74.0938466523,IOLE,g/s,2.02407426769e-05,2.02407426769e-05,2.02407426769e-05,2.02407426769e-05,2.02407426769e-05,2.02407426769e-05,2.02407426769e-05,6.07222280304e-05,6.07222280304e-05,6.07222280304e-05,6.07222280304e-05,6.07222280304e-05,6.07222280304e-05,6.07222280304e-05,6.07222280304e-05,6.07222280304e-05,6.07222280304e-05,6.07222280304e-05,6.07222280304e-05,2.02407426769e-05,2.02407426769e-05,2.02407426769e-05,2.02407426769e-05,2.02407426769e-05,2.02407426769e-05
40,33,4.59794444444,-74.0939444444,IOLE,g/s,2.50542403645e-07,2.50542403645e-07,2.50542403645e-07,2.50542403645e-07,2.50542403645e-07,2.50542403645e-07,2.50542403645e-07,7.51627210933e-07,7.51627210933e-07,7.51627210933e-07,7.51627210933e-07,7.51627210933e-07,7.51627210933e-07,7.51627210933e-07,7.51627210933e-07,7.51627210933e-07,7.51627210933e-07,7.51627210933e-07,7.51627210933e-07,2.50542403645e-07,2.50542403645e-07,2.50542403645e-07,2.50542403645e-07,2.50542403645e-07,2.50542403645e-07
36,37,4.59822610796,-74.0938231516,IOLE,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,27,4.59822610796,-74.0938231516,IOLE,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,28,4.59738678284,-74.0947585206,IOLE,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,28,4.59513494526,-74.0958231408,IOLE,g/s,1.38496386306e-08,1.38496386306e-08,1.38496386306e-08,1.38496386306e-08,1.38496386306e-08,1.38496386306e-08,1.38496386306e-08,4.1548915892e-08,4.1548915892e-08,4.1548915892e-08,4.1548915892e-08,4.1548915892e-08,4.1548915892e-08,4.1548915892e-08,4.1548915892e-08,4.1548915892e-08,4.1548915892e-08,4.1548915892e-08,4.1548915892e-08,1.38496386306e-08,1.38496386306e-08,1.38496386306e-08,1.38496386306e-08,1.38496386306e-08,1.38496386306e-08
