ROW,COL,LAT,LON,POLNAME,UNIT,E00h,E01h,E02h,E03h,E04h,E05h,E06h,E07h,E08h,E09h,E10h,E11h,E12h,E13h,E14h,E15h,E16h,E17h,E18h,E19h,E20h,E21h,E22h,E23h,E24h
37,29,4.59947222222,-74.0886388889,ISOP,g/s,1.23390486845e-06,1.23390486845e-06,1.23390486845e-06,1.23390486845e-06,1.23390486845e-06,1.23390486845e-06,1.23390486845e-06,3.70171460535e-06,3.70171460535e-06,3.70171460535e-06,3.70171460535e-06,3.70171460535e-06,3.70171460535e-06,3.70171460535e-06,3.70171460535e-06,3.70171460535e-06,3.70171460535e-06,3.70171460535e-06,3.70171460535e-06,1.23390486845e-06,1.23390486845e-06,1.23390486845e-06,1.23390486845e-06,1.23390486845e-06,1.23390486845e-06
35,37,4.59459634919,-74.0961358377,ISOP,g/s,3.93046719606e-09,3.93046719606e-09,3.93046719606e-09,3.93046719606e-09,3.93046719606e-09,3.93046719606e-09,3.93046719606e-09,1.17914015882e-08,1.17914015882e-08,1.17914015882e-08,1.17914015882e-08,1.17914015882e-08,1.17914015882e-08,1.17914015882e-08,1.17914015882e-08,1.17914015882e-08,1.17914015882e-08,1.17914015882e-08,1.17914015882e-08,3.93046719606e-09,3.93046719606e-09,3.93046719606e-09,3.93046719606e-09,3.93046719606e-09,3.93046719606e-09
31,34,4.59513494526,-74.0958231408,ISOP,g/s,6.35671585759e-10,6.35671585759e-10,6.35671585759e-10,6.35671585759e-10,6.35671585759e-10,6.35671585759e-10,6.35671585759e-10,1.90701475728e-09,1.90701475728e-09,1.90701475728e-09,1.90701475728e-09,1.90701475728e-09,1.90701475728e-09,1.90701475728e-09,1.90701475728e-09,1.90701475728e-09,1.90701475728e-09,1.90701475728e-09,1.90701475728e-09,6.35671585759e-10,6.35671585759e-10,6.35671585759e-10,6.35671585759e-10,6.35671585759e-10,6.35671585759e-10
40,33,4.59945833333,-74.0928888889,ISOP,g/s,1.53702125755e-08,1.53702125755e-08,1.53702125755e-08,1.53702125755e-08,1.53702125755e-08,1.53702125755e-08,1.53702125755e-08,4.61106377265e-08,4.61106377265e-08,4.61106377265e-08,4.61106377265e-08,4.61106377265e-08,4.61106377265e-08,4.61106377265e-08,4.61106377265e-08,4.61106377265e-08,4.61106377265e-08,4.61106377265e-08,4.61106377265e-08,1.53702125755e-08,1.53702125755e-08,1.53702125755e-08,1.53702125755e-08,1.53702125755e-08,1.53702125755e-08
40,33,4.60282175616,-74.0938466523,ISOP,g/s,2.47197994916e-07,2.47197994916e-07,2.47197994916e-07,2.47197994916e-07,2.47197994916e-07,2.47197994916e-07,2.47197994916e-07,7.41593984744e-07,7.41593984744e-07,7.41593984744e-07,7.41593984744e-07,7.41593984744e-07,7.41593984744e-07,7.41593984744e-07,7.41593984744e-07,7.41593984744e-07,7.41593984744e-07,7.41593984744e-07,7.41593984744e-07,2.47197994916e-07,2.47197994916e-07,2.47197994916e-07,2.47197994916e-07,2.47197994916e-07,2.47197994916e-07
40,33,4.59794444444,-74.0939444444,ISOP,g/s,3.05984720082e-09,3.05984720082e-09,3.05984720082e-09,3.05984720082e-09,3.05984720082e-09,3.05984720082e-09,3.05984720082e-09,9.17954160244e-09,9.17954160244e-09,9.17954160244e-09,9.17954160244e-09,9.17954160244e-09,9.17954160244e-09,9.17954160244e-09,9.17954160244e-09,9.17954160244e-09,9.17954160244e-09,9.17954160244e-09,9.17954160244e-09,3.05984720082e-09,3.05984720082e-09,3.05984720082e-09,3.05984720082e-09,3.05984720082e-09,3.05984720082e-09
36,37,4.59822610796,-74.0938231516,ISOP,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,27,4.59822610796,-74.0938231516,ISOP,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,28,4.59738678284,-74.0947585206,ISOP,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,28,4.59513494526,-74.0958231408,ISOP,g/s,3.32782198302e-10,3.32782198302e-10,3.32782198302e-10,3.32782198302e-10,3.32782198302e-10,3.32782198302e-10,3.32782198302e-10,9.98346594906e-10,9.98346594906e-10,9.98346594906e-10,9.98346594906e-10,9.98346594906e-10,9.98346594906e-10,9.98346594906e-10,9.98346594906e-10,9.98346594906e-10,9.98346594906e-10,9.98346594906e-10,9.98346594906e-10,3.32782198302e-10,3.32782198302e-10,3.32782198302e-10,3.32782198302e-10,3.32782198302e-10,3.32782198302e-10
