ROW,COL,LAT,LON,POLNAME,UNIT,E00h,E01h,E02h,E03h,E04h,E05h,E06h,E07h,E08h,E09h,E10h,E11h,E12h,E13h,E14h,E15h,E16h,E17h,E18h,E19h,E20h,E21h,E22h,E23h,E24h
37,29,4.59947222222,-74.0886388889,MEOH,g/s,4.47920618055e-05,4.47920618055e-05,4.47920618055e-05,4.47920618055e-05,4.47920618055e-05,4.47920618055e-05,4.47920618055e-05,0.000134376185417,0.000134376185417,0.000134376185417,0.000134376185417,0.000134376185417,0.000134376185417,0.000134376185417,0.000134376185417,0.000134376185417,0.000134376185417,0.000134376185417,0.000134376185417,4.47920618055e-05,4.47920618055e-05,4.47920618055e-05,4.47920618055e-05,4.47920618055e-05,4.47920618055e-05
35,37,4.59459634919,-74.0961358377,MEOH,g/s,1.42680148261e-07,1.42680148261e-07,1.42680148261e-07,1.42680148261e-07,1.42680148261e-07,1.42680148261e-07,1.42680148261e-07,4.28040444783e-07,4.28040444783e-07,4.28040444783e-07,4.28040444783e-07,4.28040444783e-07,4.28040444783e-07,4.28040444783e-07,4.28040444783e-07,4.28040444783e-07,4.28040444783e-07,4.28040444783e-07,4.28040444783e-07,1.42680148261e-07,1.42680148261e-07,1.42680148261e-07,1.42680148261e-07,1.42680148261e-07,1.42680148261e-07
31,34,4.59513494526,-74.0958231408,MEOH,g/s,3.32770451909e-07,3.32770451909e-07,3.32770451909e-07,3.32770451909e-07,3.32770451909e-07,3.32770451909e-07,3.32770451909e-07,9.98311355729e-07,9.98311355729e-07,9.98311355729e-07,9.98311355729e-07,9.98311355729e-07,9.98311355729e-07,9.98311355729e-07,9.98311355729e-07,9.98311355729e-07,9.98311355729e-07,9.98311355729e-07,9.98311355729e-07,3.32770451909e-07,3.32770451909e-07,3.32770451909e-07,3.32770451909e-07,3.32770451909e-07,3.32770451909e-07
40,33,4.59945833333,-74.0928888889,MEOH,g/s,5.57955097874e-07,5.57955097874e-07,5.57955097874e-07,5.57955097874e-07,5.57955097874e-07,5.57955097874e-07,5.57955097874e-07,1.67386529363e-06,1.67386529363e-06,1.67386529363e-06,1.67386529363e-06,1.67386529363e-06,1.67386529363e-06,1.67386529363e-06,1.67386529363e-06,1.67386529363e-06,1.67386529363e-06,1.67386529363e-06,1.67386529363e-06,5.57955097874e-07,5.57955097874e-07,5.57955097874e-07,5.57955097874e-07,5.57955097874e-07,5.57955097874e-07
40,33,4.60282175616,-74.0938466523,MEOH,g/s,8.97355067603e-06,8.97355067603e-06,8.97355067603e-06,8.97355067603e-06,8.97355067603e-06,8.97355067603e-06,8.97355067603e-06,2.6920652028e-05,2.6920652028e-05,2.6920652028e-05,2.6920652028e-05,2.6920652028e-05,2.6920652028e-05,2.6920652028e-05,2.6920652028e-05,2.6920652028e-05,2.6920652028e-05,2.6920652028e-05,2.6920652028e-05,8.97355067603e-06,8.97355067603e-06,8.97355067603e-06,8.97355067603e-06,8.97355067603e-06,8.97355067603e-06
40,33,4.59794444444,-74.0939444444,MEOH,g/s,1.11075714537e-07,1.11075714537e-07,1.11075714537e-07,1.11075714537e-07,1.11075714537e-07,1.11075714537e-07,1.11075714537e-07,3.33227143612e-07,3.33227143612e-07,3.33227143612e-07,3.33227143612e-07,3.33227143612e-07,3.33227143612e-07,3.33227143612e-07,3.33227143612e-07,3.33227143612e-07,3.33227143612e-07,3.33227143612e-07,3.33227143612e-07,1.11075714537e-07,1.11075714537e-07,1.11075714537e-07,1.11075714537e-07,1.11075714537e-07,1.11075714537e-07
36,37,4.59822610796,-74.0938231516,MEOH,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,27,4.59822610796,-74.0938231516,MEOH,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,28,4.59738678284,-74.0947585206,MEOH,g/s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,28,4.59513494526,-74.0958231408,MEOH,g/s,1.74209584001e-07,1.74209584001e-07,1.74209584001e-07,1.74209584001e-07,1.74209584001e-07,1.74209584001e-07,1.74209584001e-07,5.22628752003e-07,5.22628752003e-07,5.22628752003e-07,5.22628752003e-07,5.22628752003e-07,5.22628752003e-07,5.22628752003e-07,5.22628752003e-07,5.22628752003e-07,5.22628752003e-07,5.22628752003e-07,5.22628752003e-07,1.74209584001e-07,1.74209584001e-07,1.74209584001e-07,1.74209584001e-07,1.74209584001e-07,1.74209584001e-07
